DATE,SHIFTS,MC GM-1,MC GM-2,MC GM-3,MC GM-4,MC GM-5,MC GM-6,MC NL-1,MC NL-2,Upcoming.
"01, Saturday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Saturday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"01, Saturday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Sunday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Sunday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"02, Sunday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"03, Monday, Feb 2025",SHIFT-1,36784,33441,36030,36078,35778,34394,35718,36034,FALSE
"03, Monday, Feb 2025",SHIFT-2,36784,33441,36030,36078,35778,34394,35718,36034,FALSE
"03, Monday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36078,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"04, Tuesday, Feb 2025",SHIFT-1,36784,33441,36030,36078,35778,34394,35718,36034,FALSE
"04, Tuesday, Feb 2025",SHIFT-2,36784,33441,36030,36078,35778,34394,35718,36034,FALSE
"04, Tuesday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36078,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"05, Wednesday, Feb 2025",SHIFT-1,36784,33441,36900,36078,35778,34394,35718,36034,FALSE
"05, Wednesday, Feb 2025",SHIFT-2,36784,33441,36900,36077,35778,34394,35718,36034,FALSE
"05, Wednesday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36077,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"06, Thursday, Feb 2025",SHIFT-1,36784,33441,36900,36077,35778,34394,35718,36034,FALSE
"06, Thursday, Feb 2025",SHIFT-2,36784,33441,36900,36077,35778,34394,35718,36034,FALSE
"06, Thursday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36077,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"07, Friday, Feb 2025",SHIFT-1,36784,33441,36900,36077,35778,34394,35718,36034,FALSE
"07, Friday, Feb 2025",SHIFT-2,36784,33441,36900,36077,35778,34394,35718,36034,FALSE
"07, Friday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36077,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Saturday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Saturday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"08, Saturday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Sunday, Feb 2025",SHIFT-1,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Sunday, Feb 2025",SHIFT-2,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"09, Sunday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"10, Monday, Feb 2025",SHIFT-1,36784,33441,36784,36077,35778,34394,35718,35718,FALSE
"10, Monday, Feb 2025",SHIFT-2,36784,33441,36784,36077,35778,34394,35718,35718,FALSE
"10, Monday, Feb 2025",SHIFT-3,NO PLANNING,NO PLANNING,NO PLANNING,36077,35778,NO PLANNING,NO PLANNING,NO PLANNING,FALSE
"11, Tuesday, Feb 2025",SHIFT-1,36784,33441,36784,NO JOBS,35778,34394,35718,35718,FALSE
"11, Tuesday, Feb 2025",SHIFT-2,36784,33441,36784,NO JOBS,35778,34394,35718,35718,FALSE
